id,sentence,e1_pos,e2_pos,relation,label
4034,studies described in this article investigated two questions about forgiveness,0,7,Other,0
4035,scientists have injected human cells into lab animals,4,7,"Entity-Destination(e1,e2)",7
4036,condoleezza rice speaks amid a crowd of torture protesters,5,8,"Member-Collection(e2,e1)",16
4037,the team prepared gis precipitation and contour maps of the area \( approximately 777 square miles \) depicting the landforms and identifying the flooding and landslides caused by the rainfall,23,29,"Cause-Effect(e2,e1)",10
4038,"the 1906 san francisco earthquake was caused by a rupture on the san andreas fault , a continental transform fault that forms part of the boundary between the pacific plate and the north american plate",4,9,"Cause-Effect(e2,e1)",10
4039,pioneering percussionist terje isungset plays instruments made from a 2500 year old glacier,5,12,"Entity-Origin(e1,e2)",13
4040,james p gorman greeted his employees on tuesday with a memorandum that outlined the management changes at the firm,10,15,"Message-Topic(e1,e2)",1
4041,they posted a note on the back of the door and the lid of the toilet,12,15,"Component-Whole(e1,e2)",11
4042,a two zone alarm means the alarm has two seperate 'detection ' circuits and can identify which circuit was triggered,6,12,"Component-Whole(e2,e1)",12
4043,the relationship between funding source and study outcome was investigated in several other studies,1,13,Other,0
4044,australia exports grains to the neighboring countries,2,6,"Entity-Destination(e1,e2)",7
4045,an object has been placed into orbit,1,6,"Entity-Destination(e1,e2)",7
4046,"the grief from sudden death is completely different from expected death , when families have time to prepare and say goodbye",1,4,"Cause-Effect(e2,e1)",10
4047,"the book , compiled by the poet 's daughter , includes memoirs by writers , poets , translators , critics , actors , and theater directors",1,6,Other,0
4048,schoniger 's technique for combustion of organic compounds in a flask filled with oxygen is well known,4,10,Other,0
4049,those who staged the coup appointed a civilian prime minister and a cabinet of civilian technocrats,12,15,"Member-Collection(e2,e1)",16
4050,this is the best armor for knights,4,6,"Instrument-Agency(e1,e2)",5
4051,"there is chicha , andian beer made with a maize called jora",5,9,"Entity-Origin(e1,e2)",13
4052,the wounds caused by the scourging and the thorns are almost invisible,1,8,"Cause-Effect(e2,e1)",10
4053,a series of steps takes you to the top of the falls where you get a wide and spectacular view of the stone bowl that the creek has carved over the ages,26,31,Other,0
4054,the tunnel complex now hosts a series of galleries detailing the occupation history,8,11,"Message-Topic(e1,e2)",1
4055,"the existing configurator i 'm certain is built up of many parts expertly layered , probably mostly inside of this 'configed ' program",2,11,"Component-Whole(e2,e1)",12
4056,myoats is a community where people create designs using an online drawing application,5,7,"Product-Producer(e2,e1)",4
4057,"the war was caused by the expansionist desires of hitler , mussolini and the japanese imperialists",1,7,"Cause-Effect(e2,e1)",10
4058,the official printed slip law is available from the government printing office,4,11,"Product-Producer(e1,e2)",3
4059,the project comprises several phases including 19 miles of highway expansion,1,4,"Component-Whole(e2,e1)",12
4060,the fixation device fixed the tibia proximally with a stem which was inserted into the medullary channel and connected to a rod,2,9,"Instrument-Agency(e2,e1)",6
4061,the narcs planted a rock of cocaine on me when they arrested my buddy with his stash,1,4,Other,0
4062,osteoporosis is caused by a sharp decrease in estrogen levels that leads to an increased rate of bone remodeling,0,6,"Cause-Effect(e2,e1)",10
4063,bon vivants were a subculture of homosexuals who partied in the 50 's,4,6,"Member-Collection(e2,e1)",16
4064,"the bottom tier was made with two bath towels , the third tier with one bath towel , the second tier with two hand towels",2,8,"Component-Whole(e2,e1)",12
4065,a beautiful young girl is going into blissful trance,3,8,Other,0
4066,"in the sketch at right , the electromagnet formed by the coil of the rotor is represented as a permanent magnet , and the same torque \( north attracts south \) is seen to be that acting to align the central magnet",11,14,"Component-Whole(e1,e2)",11
4067,they have exported serious crime to previously blissful communities,4,8,"Entity-Destination(e1,e2)",7
4068,in the background is a depiction of a city with angels that along a path that leads towards it,2,8,Other,0
4069,"the following monday , his bosses were so impressed they gave him a job as a draughtsman in the design office",19,20,"Product-Producer(e1,e2)",3
4070,the economic collapse was caused by consumers buying mortgages they could n't afford and the housing collapse,2,6,"Cause-Effect(e2,e1)",10
4071,a lizard sticks its tongue out of its mouth,1,4,"Component-Whole(e2,e1)",12
4072,"convulsions that occur after dtap are usually not caused directly by the vaccine , but by a fever , which in turn was triggered by the vaccine",17,26,"Cause-Effect(e2,e1)",10
4073,burrows by birds are usually made in soft soils some penguins and other pelagic seabirds are noted for such burrows,0,2,"Product-Producer(e1,e2)",3
4074,one of the most important ostraca found at mesad hashavyahu is a written appeal by a field worker to the fortress 's governor,13,17,"Product-Producer(e1,e2)",3
4075,it is a magazine style journal that publishes full length research papers in all disciplines of science,5,10,"Component-Whole(e2,e1)",12
4076,the character of the drug release from the conjugates was different,4,8,"Entity-Origin(e1,e2)",13
4077,"the first civilization to have a dedicated force of military engineering specialists were the romans , whose army contained a dedicated corps of military engineers known as architecti",21,24,"Member-Collection(e2,e1)",16
4078,"we recommend keeping the bird in a container , not letting it loose in your house or car",4,7,"Content-Container(e1,e2)",17
4079,"at the time of the incident the front tank was full of molasses , the middle two tanks were empty and the rear tank had just been emptied",8,12,"Content-Container(e2,e1)",18
4080,"to determine , once and for all , how the manakin was making its bizarre sounds , bostwick and colleagues decided to take feather samples",10,15,"Cause-Effect(e2,e1)",10
4081,the biggest political sex scandal came from a democrat,4,8,"Entity-Origin(e1,e2)",13
4082,the motor unit is housed inside a caisson,2,7,"Content-Container(e1,e2)",17
4083,a catheter was placed into the stomach through the same gastrostomy tract,1,6,"Entity-Destination(e1,e2)",7
4084,he painted the picture of a typical middle class family evening in a letter to the editor,9,12,"Message-Topic(e2,e1)",2
4085,chess is a game that portrays the old power structures of feudal europe and recognizes the alliance of different authoritarian interests that kept the people of society under the yoke of service to the elite,16,20,"Member-Collection(e2,e1)",16
4086,the assay sample preparation unit processes a specimen using a fluorescent dye,4,11,"Instrument-Agency(e2,e1)",6
4087,"in the book , the unc chapel hill graduate explains how starbucks became a wall street favorite by making its customers feel environmentally aware , upwardly mobile , connected and cool",2,7,"Product-Producer(e1,e2)",3
4088,the opening angle of the cherenkov cone measures the velocity with a resolution of 0 2,2,12,Other,0
4089,the manufacturer guarantees the dimension by using the precise grind process,1,10,"Instrument-Agency(e2,e1)",6
4090,the stabilising effects on the glenohumeral joint of each of the rotator cuff muscles and of the biceps were studied with the arm in abduction and external rotation in 13 cadaver shoulders,16,21,"Component-Whole(e1,e2)",11
4091,you have fetched character data into a standard result set,4,9,"Entity-Destination(e1,e2)",7
4092,the flower buds of forsythia require a relatively short rest period and will grow at the first sign of warm weather,1,2,"Component-Whole(e2,e1)",12
4093,from time to time a drove of goats or donkeys passed by on its way to the jardin du luxembourg,5,7,"Member-Collection(e2,e1)",16
4094,i 'm not a violent person and the gun was locked in a safe away from anyone,8,13,"Content-Container(e1,e2)",17
4095,it damaged some components of espresso machines and the plastics inside the machine absorbed it and started to pass on odour and taste to the espresso,9,12,Other,0
4096,mounds in the lawn are caused by earthworms working in the top few inches of turf,0,7,"Product-Producer(e1,e2)",3
4097,many archaeologists have fallen into a trap while working to solve the secret of this pyramid,1,6,"Entity-Destination(e1,e2)",7
4098,it is a 2004 book criticizing the political and linguistic writings of noam chomsky,4,10,"Message-Topic(e1,e2)",1
4099,the knot of struggling frogs stays flopping in the same spot on the pond surface,1,4,"Member-Collection(e2,e1)",16
4100,"with the ramps and platform for off ground vehicle washing , used water is collected in a receptacle below platform",11,16,"Entity-Destination(e1,e2)",7
4101,"in your issue of april 26 a photograph shows a woman doctor with a precautionary mask against sars infection , attending a patient",11,15,"Instrument-Agency(e2,e1)",6
4102,this page is based on the well working recipe from the pizza dough page,8,13,"Entity-Origin(e1,e2)",13
4103,these implants were placed into function,1,5,Other,0
4104,"the hard drive was forgotten placed inside a car , which was ignited",2,8,"Content-Container(e1,e2)",17
4105,these ballads specialized in lampooning politicians and authority figures who encouraged irishmen to fight in foreign wars,1,5,"Message-Topic(e1,e2)",1
4106,we have three of the finest hanoverian stallions in england standing at stud,7,12,Other,0
4107,the directive applied to discrimination on the basis of gender reassignment as well as discrimination on the basis of sex alone,1,4,"Message-Topic(e1,e2)",1
4108,this website gives you detailed maps and trails that are specifically in kent,1,5,"Component-Whole(e2,e1)",12
4109,seth tends to devote his affections to his float of crocodiles that live in the tiny swampland on seabat isle,8,10,"Member-Collection(e2,e1)",16
4110,"then , we placed a bread slice into the heatproof baking dish",6,11,"Entity-Destination(e1,e2)",7
4111,the painter uses a perch and a roller to apply the painting to the roof of a building,1,4,"Instrument-Agency(e2,e1)",6
4112,"in the next step , the chef added sugar into the mix",8,11,"Entity-Destination(e1,e2)",7
4113,the marriage combined the rituals of the mangalorean bride and the punjabi groom with the vows being exchanged according to south indian tradition while pre wedding rituals like 'mehendi ' and 'sangeet ' conducted as per punjabi tradition,1,4,"Component-Whole(e2,e1)",12
4114,criminal procedure refers to the legal process for adjudicating claims that someone has violated criminal law,0,5,Other,0
4115,the apple went away from the apple tree,1,7,"Entity-Origin(e1,e2)",13
4116,"the system unit is comprised of a central processing unit , memory , power supply , and an internal clock",2,11,"Component-Whole(e2,e1)",12
4117,"the present invention relates to a method for producing battery electrodes , electrodes produced by this method , and batteries containing such electrodes",12,16,Other,0
4118,most women use a portable pump for this purpose,1,5,"Instrument-Agency(e2,e1)",6
4119,direct formic acid fuel cells convert formic acid and oxygen into carbon dioxide and water to produce energy,3,10,"Product-Producer(e2,e1)",4
4120,the user added subtitles into the mp4 files,3,7,"Entity-Destination(e1,e2)",7
4121,the best cheeses use a rennet naturally produced by animals and unpasteurised milk from the neighbourhood farm with its bacteria and nutrients intact,5,9,"Product-Producer(e1,e2)",3
4122,"in 1890 , the nobleman organized and founded a sports organization , union des societes francaises de sports athletiques \( usfsa \)",4,10,"Product-Producer(e2,e1)",4
4123,"with corn starch as its source material , plantic 's plastic is also cost competitive",1,2,"Entity-Origin(e2,e1)",14
4124,licenses and permits are revenues from the selling of vendor and dog licenses and other items,4,7,"Cause-Effect(e2,e1)",10
4125,birds take a lot of time caring for their feathers,0,9,"Component-Whole(e2,e1)",12
4126,the first mathematician derived the new formula for the sum of the fourth power using a method that is readily general for determining the general formula for the sum of any integral powers,2,6,"Product-Producer(e2,e1)",4
4127,oblique light is directed toward the specimen from any azimuth to achieve the best desired effect for a given specimen,1,9,"Entity-Origin(e1,e2)",13
4128,"but none of this was really necessary , because you just head for the largest building ever created by man",15,19,Other,0
4129,the following activity involves surveying the child health resources available in your group 's community,2,8,Other,0
4130,"much of the work on continuous culture of bacteria has been carried out with aerobic bacteria , though little has been done with strict anaerobes",6,8,Other,0
4131,"cabaret is a form of entertainment featuring comedy , song , dance , and theatre",5,7,"Component-Whole(e2,e1)",12
4132,michael barry is one of the most respected riders in the peloton and the author of two books and many fascinating articles,14,21,"Product-Producer(e2,e1)",4
4133,"as you age , the bones and cartilage that make up your backbone and neck gradually deteriorate , sometimes forming irregular bony outgrowths called bone spurs",7,12,Other,0
4134,"when the guard happened upon a mass grave dug by this sick fool , a massive , horned , disgusting behemoth was digging itself out",7,12,"Product-Producer(e1,e2)",3
4135,the name peerbot arose from the verb 'to peer ',1,6,"Entity-Origin(e1,e2)",13
4136,the government gave money to wind power producers,3,7,"Entity-Destination(e1,e2)",7
4137,the user holded the handle with one hand and used the other hand to rotate the crank of the fishing reel,16,19,"Component-Whole(e1,e2)",11
4138,"i went with a few friends up to the sky pool bar area , proceeded to order a round of cocktail drinks and had to wait a considerable amount of time for them",18,21,"Member-Collection(e2,e1)",16
4139,we saw an aerie of eleven eagles soaring majestically alongside us on the heights of monte espino,3,6,"Member-Collection(e2,e1)",16
4140,the veteran inventor best known for creating the clockwork radio is planning to float his incubator company on the stock exchange,2,8,"Product-Producer(e2,e1)",4
4141,they 're as artful as a cartload of monkeys when it comes to breaking the rules,6,8,"Member-Collection(e2,e1)",16
4142,a choice takes you forward by a more or less fixed number of pages at any given position in the book,1,20,Other,0
4143,an article has been prepared on patient self testing of oral anticoagulation,1,8,"Message-Topic(e1,e2)",1
4144,heavy gauge flatware is composed of polished stainless steel for good heft and balance,1,7,"Entity-Origin(e2,e1)",14
4145,the compiler assumes that the programmer passes an object to the method,1,5,"Instrument-Agency(e1,e2)",5
4146,the adjective capitolinus was of course derived from the noun,1,9,"Entity-Origin(e1,e2)",13
4147,"there is need for `` agreement between producers and consumers that established fair prices for commodities , including those such as cocoa , coffee , sugar and tropical timber ''",15,21,"Member-Collection(e2,e1)",16
4148,most musicians have developed a standard of their own for cleaning their instruments,1,12,"Instrument-Agency(e2,e1)",6
4149,only a few congressmen attended that first party in 1977,3,7,Other,0
4150,chilika supports the largest congregation of migratory birds in the country during winter,4,7,"Member-Collection(e2,e1)",16
4151,they have talked to people who have come out of their body in surgery they come out of their body after an accident,4,11,"Entity-Origin(e1,e2)",13
4152,the minnesota zoo 's northern trail is home to a coterie of black tailed prairie dogs,10,14,"Member-Collection(e2,e1)",16
4153,the `` rosewill lcd plasma screen cleaner '' came with a bottle full of solution and a cloth and a spray bottle to put the solution in,10,13,"Content-Container(e2,e1)",18
4154,the bull is grazing at the hay pen by the barn at a farm in the mennonite heritage village,10,13,"Component-Whole(e1,e2)",11
4155,you needed a glamour cat to purr in this kennel of hungry hounds,9,12,"Member-Collection(e2,e1)",16
4156,"in the 50s , as the postwar generation lived lives of `` leave it to beaver , '' a subculture of beatniks and musicians was busy being `` mischievous , irreverent , impulsive , drunken , and sex obsessed , '' breaking the social mores that came along with ike and the baby boom",19,21,"Member-Collection(e2,e1)",16
4157,the laboratory made elementary mistakes in the production of the magnets and their anchors that made them insecure once the system was operational,1,10,"Product-Producer(e2,e1)",4
4158,"the first thought we had was to set up the bank of monitors and simply feed a bright and unusual color to it , such as green , and then use the greenscreened monitors to later add video of our choosing",10,12,"Member-Collection(e2,e1)",16
4159,a british prison escapee who taunted police over the internet has established a following of more than 32000 fans on facebook,3,13,Other,0
4160,"unlike modern tunnels , the brothers placed their fan at the entrance of the tunnel",11,14,"Component-Whole(e1,e2)",11
4161,a new trial injection was inserted into a leg or an arm vein,3,12,"Entity-Destination(e1,e2)",7
4162,"the purpose of the focus groups was to determine user needs , wants , and concerns early and progressively throughout the development of the prototype",4,10,Other,0
4163,"the second sentence tells us about heart disease , which is an illness of late middle age and old age",2,7,"Message-Topic(e1,e2)",1
4164,the port side of a vessel is indicated with a red navigation light at night,2,12,Other,0
4165,"more than 4500 tons of nitrogen oxides annually a pollutant that causes smog , acid rain , and contributes to asthma attacks and other breathing problems",10,16,"Cause-Effect(e1,e2)",9
4166,this section outlines the duties of the trust with respect to setting the bbc 's editorial standards,1,4,"Message-Topic(e1,e2)",1
4167,addiction and poverty lead to neglect and abuse,0,5,"Cause-Effect(e1,e2)",9
4168,it includes acts such as a chap who plays jigs on the fiddle while balancing on a rope,6,12,"Instrument-Agency(e2,e1)",6
4169,we also showed the presence of 22 6 \( n 3 \) in the liver and brain of weanling rats,12,17,"Component-Whole(e1,e2)",11
4170,the juvenile tawny owls were released into four woodland locations,3,9,"Entity-Destination(e1,e2)",7
4171,ahead of her the young woman stops again and is leaning over the heavy iron railing of the bridge,15,18,"Component-Whole(e1,e2)",11
4172,the children ate the cake with a spoon,1,7,"Instrument-Agency(e2,e1)",6
4173,"with medical ghostwriting , pharmaceutical companies pay both professional writers to produce papers and then pay other scientists or physicans to attach their names to these papers before they are published in a medical or scientific journals",9,12,"Product-Producer(e2,e1)",4
4174,i had three of the eights against a flush of clubs,8,10,Other,0
4175,the nation emerged from president george w bush 's eight years in office more dependent on oil than ever before,1,10,"Entity-Origin(e1,e2)",13
4176,he has inherited susceptibility to certain cancers,3,6,Other,0
4177,the swelling of the vocal fold mucosa is caused by smoking,1,10,"Cause-Effect(e2,e1)",10
4178,"in conclusion , incubation of the aorta produces a specific reduction in agonist evoked contraction",3,10,"Cause-Effect(e1,e2)",9
4179,making a slow cook turkey in the crock pot is pretty similar to making one in the oven,4,7,"Content-Container(e1,e2)",17
4180,the celebrity arrived to crash the party,1,6,Other,0
4181,"everyone , including the chef , is a 'soldier first ' and 'tradesman second ' , and troops find themselves eating a meal cooked by the same chef who supported them out on patrol or fired mortars in the same mission",22,27,"Product-Producer(e1,e2)",3
4182,"his stories range from near future predictions to far future , far space improvisations",1,5,Other,0
4183,we owe it to ourselves to separate the riffraff from riffraff of less unsavory characteristics,10,14,Other,0
4184,"in this study , we examined the suspension of solid particles in a vessel equipped with dual traditional impellers",10,13,"Content-Container(e1,e2)",17
4185,"the warmouth , for example , was in a bin next to some nearly translucent banded pygmy sunfish",1,9,"Content-Container(e1,e2)",17
4186,i quickly glanced around to see if the tow crew was near yet and then kissed the rim of the cockpit,17,20,"Component-Whole(e1,e2)",11
4187,the tourism sector is sinking into deeper poverty,1,7,Other,0
4188,"it was pushed on the road by another chicken , which went away from the road",8,15,"Entity-Origin(e1,e2)",13
4189,such cosmic impacts also have spread life to alien worlds,6,8,"Entity-Destination(e1,e2)",7
4190,it can be seen among the wild flowers growing in the lower garden of pavilion vi,7,12,"Component-Whole(e1,e2)",11
4191,"in recent years , the issue of experimentation upon nonhuman animals has become the subject of media attention",5,17,Other,0
4192,this is a brilliant piece of work by a fellow not one person in the music press would ever have tipped to write one of the great scottish albums of the last five years,4,9,"Product-Producer(e1,e2)",3
4193,"on the last day , in a small shop in the plaka , the oldest quarter in athens , i bought a silver ring with athena 's image carved on it",22,23,Other,0
4194,rama revealed \( 1993 \) is a science fiction novel by arthur c clarke and gentry lee,7,9,Other,0
4195,"the high humidity caused by the rainfall damaged the seed of pu already mature while the good soil moisture allowed the seed of so , to and oo to fill better",1,6,"Cause-Effect(e2,e1)",10
4196,"additionally , the president won the democratic nomination with the help of the super delegates",3,10,Other,0
4197,"at its height , the whiskey rebellion involved thousands of pennsylvania farmers being taxed on rye liquor , their chief export",15,16,"Entity-Origin(e2,e1)",14
4198,the superb location of this fortress allows us a great view over the surrounding mountains,2,5,Other,0
4199,"mount the antenna on the trunk lid , at least 3 inches from the front edge",5,6,"Component-Whole(e2,e1)",12
4200,their moral criticism concerns the particular social and personal context in which they appear,2,9,"Message-Topic(e1,e2)",1
4201,this was the thought until recently when a small stand of ginkgo trees were found growing in a remote valley in china,9,12,"Member-Collection(e2,e1)",16
4202,"in the autumnal season , a phalanx of storks , herons , or swans , mounts into the heavens , like an ascending pyramid , to migrate from the frigid to the torrid zone",6,8,"Member-Collection(e2,e1)",16
4203,"in a frantic midnight e mail to colleagues , the bank 's senior technology manager referred to the situation as an `` unprecedented crisis ''",4,13,"Product-Producer(e1,e2)",3
4204,"a giant asteroid , like the one shown in this artist 's rendering , has thrown fiery debris into earth 's atmosphere",17,21,"Entity-Destination(e1,e2)",7
4205,"the defendant , in order to prove his plea of justification , produced a witness named mary dillon",1,14,Other,0
4206,"first , the h5n1 virus has caused by far the greatest number of human cases of very severe disease and the greatest number of deaths",4,18,"Cause-Effect(e1,e2)",9
4207,the usa government handed over these detained foreign citizens to russian boarder guards,8,11,"Entity-Destination(e1,e2)",7
4208,overall the guide speaks about creative and dynamic interactions,2,8,"Message-Topic(e1,e2)",1
4209,this reflects much of the light back towards the lamp fitting,9,10,"Component-Whole(e2,e1)",12
4210,"in the nineteenth century , modern manholes and the modern manhole cover were developed",10,11,"Component-Whole(e2,e1)",12
4211,some gardeners use a thick mulch for this purpose,1,5,"Instrument-Agency(e2,e1)",6
4212,"many symptoms of fight or flight are caused by chemical changes in the body , but these two symptoms of are caused by chronic , rapid , shallow breathing",1,9,"Cause-Effect(e2,e1)",10
4213,"following step 2 in making pancake , he poured the batter in the pan",10,13,"Entity-Destination(e1,e2)",7
4214,the issue of the legitimacy of kosovo 's declaration of independence is now under discussion by the international court of justice,1,14,"Message-Topic(e2,e1)",2
4215,public brand products were donated to charities,2,6,"Entity-Destination(e1,e2)",7
4216,the sensors being created inside the fiber are so tiny that the researchers mark their location with ink,12,17,"Instrument-Agency(e2,e1)",6
4217,i took this photo out of an airplane window,3,8,Other,0
4218,the owner had installed the closed end nuts with a generous dab of wheel bearing grease,1,14,"Instrument-Agency(e2,e1)",6
4219,the agency spent this week auctioning off a 12 pack of beer commercial scripts on ebay,9,12,"Member-Collection(e2,e1)",16
4220,the urine output of the normal adults was 1350ml,1,6,"Product-Producer(e1,e2)",3
4221,"i was formerly a person who looked at the sky expecting only the usual clutter of planes , stars , and the occasional blinking satellite",14,16,"Member-Collection(e2,e1)",16
4222,this plane arrives into the international airport in melbourne,1,6,"Entity-Destination(e1,e2)",7
4223,the mouse is a traditional ball mouse with 3 buttons and a scroll wheel,6,12,"Component-Whole(e2,e1)",12
4224,many excellent musicians emanated from ihe hoosier state,2,7,"Entity-Origin(e1,e2)",13
4225,i had my hand on the hilt of the sword waiting for your signal to kill him,6,9,"Component-Whole(e1,e2)",11
4226,we were a congregation of young people concerned about the religious education of our children as well as creating a good life in our community,3,6,"Member-Collection(e2,e1)",16
4227,i visited other communities the builder had built,3,5,"Product-Producer(e1,e2)",3
4228,that box was in a chest that had been locked since at least the early 1800s,1,5,"Content-Container(e1,e2)",17
4229,the 1983 movie `` a christmas story '' captured the nation 's heart with a story about 1950s middle american celebrations during the christmas season,2,20,"Message-Topic(e1,e2)",1
4230,"another product from the factory was the scandinavian padlock \( `` polhem locks '' , swedish polhemslas \)",4,8,"Product-Producer(e2,e1)",4
4231,a carpenter fell into an elevator shaft,1,6,"Entity-Destination(e1,e2)",7
4232,homeless teenagers return home with the help of family ties,1,9,Other,0
4233,"the assassination resulted in extensive arrests of governmental , security , and criminal figures",1,5,"Cause-Effect(e1,e2)",9
4234,"pearls are expensive and rare , many women prefer to buy a good sized south sea pearl pendant , instead of opting for a rope of pearls",23,25,"Component-Whole(e2,e1)",12
4235,a suitcase with some clothing in it had been left by my bed earlier in the week,1,4,"Content-Container(e2,e1)",18
4236,"the guy cleaned the heads with a cotton swab soaked in flushing fluid , changed the pad , and then ran a head clean , the results were amazing",1,8,"Instrument-Agency(e2,e1)",6
4237,"during his early period , the director produced numerous documentaries , including an interview with aleksandr solzhenitsyn and a reportage about grigori kozintsev 's flat in st petersburg",6,19,"Product-Producer(e2,e1)",4
4238,"opening paragraph defines purpose of essay clearly and succinctly , allows the reader to predict what follows and establishes a clear theme for essay",1,3,"Message-Topic(e1,e2)",1
4239,the storm resulted in 31 deaths and 2 5 million dollars damage,1,10,"Cause-Effect(e1,e2)",9
4240,"i bought a silver ring from a bass pro shops , a hunting fishing chain store , for 53",3,4,Other,0
4241,the idea for the film came from a short story by ward greene entitled `` happy dan,1,9,"Entity-Origin(e1,e2)",13
4242,the name of keith murray meant nothing to me until i was given some pottery by a friend who was leaving for america,14,17,"Entity-Origin(e1,e2)",13
4243,the plane crashed and landed into a cemetery killing 17 children,1,7,"Entity-Destination(e1,e2)",7
4244,a sporting shooter in a nearby car killed her with three bullets from his gun,2,11,"Instrument-Agency(e2,e1)",6
4245,"his portrait appears in innumerable paintings in the national gallery , sometimes with his mother in a supporting role",1,5,"Message-Topic(e2,e1)",2
4246,the first involved representation in congress of different sized states,5,8,"Member-Collection(e2,e1)",16
4247,"one examination paper was in physical geography , the other in political geography",1,5,"Message-Topic(e1,e2)",1
4248,obama 's economic policies are turning into a global disaster,3,9,"Cause-Effect(e1,e2)",9
4249,"the desert temperature at the time of her death was 110 degrees , but a bottle with water in it was found with her body , raising doubts on dehydration as a cause of death",15,17,"Content-Container(e2,e1)",18
4250,i found a lover with a slow hand,3,7,"Component-Whole(e2,e1)",12
4251,"on his journeys around the world , yasser arafat was in the habit of taking a suitcase full of cash for `` emergency '' cases",16,19,"Content-Container(e2,e1)",18
4252,the egg was pushed into the bottle,1,6,"Entity-Destination(e1,e2)",7
4253,"i had enough plywood left over from previous jobs to build the box , and there was a nylon tow strap stored behind the seat of the truck",24,27,"Component-Whole(e1,e2)",11
4254,"environmentalists , utilities , and green businesses are turning to behavioral economics",0,11,Other,0
4255,the original play was inspired by a trip to europe made by murray burnett in 1938,2,7,Other,0
4256,his big slouch hat even was cocked jauntily over the bed post,10,11,"Component-Whole(e2,e1)",12
4257,"in some cases , however , teachers have been given sole responsibility for a class of thirty students , with as many as ten having disabilities",14,17,"Member-Collection(e2,e1)",16
4258,"the plane took off from an airport in duval county , florida on saturday",1,6,"Entity-Origin(e1,e2)",13
4259,harry loper had provided the automobile that the sheriff used to get the two men out of harm 's way,5,8,"Instrument-Agency(e1,e2)",5
4260,the dancer has arrived into the studio,1,6,"Entity-Destination(e1,e2)",7
4261,scientists have discovered for the first time a dinosaur with shelled eggs inside her belly,11,14,"Content-Container(e1,e2)",17
4262,there has been abuzz in recent weeks about the arrival of a diminutive new laptop from a little known hardware manufacturer,14,19,"Product-Producer(e1,e2)",3
4263,the servant who carves removes the fat with a spoon,1,9,"Instrument-Agency(e2,e1)",6
4264,the supreme court has applied the protections of this amendment to the states through the due process clause of the fourteenth amendment,1,12,Other,0
4265,the pizza dough was in a bin on the floor,1,6,"Content-Container(e1,e2)",17
4266,these species migrated into the fallow land,1,6,"Entity-Destination(e1,e2)",7
4267,"most importantly , the increase in bold activity in these regions was independent of the motor system that the participants used to express their decision",16,19,"Instrument-Agency(e1,e2)",5
4268,"in the end what was left of the city was miles from the sea , and many of the inhabitants left swampy lowland to live in the surrounding hills",10,13,Other,0
4269,"in the foreground , the illustration shows a sailor with a musket standing on the shore",8,11,"Instrument-Agency(e2,e1)",6
4270,"each club member flew his flock or kit of twenty pigeons , to be judged for twenty minutes",7,10,"Member-Collection(e2,e1)",16
4271,"thus , evaluating capital punishment as a form of retribution is reduced by sellin to merely estimating the proportion of capital murders that result in execution",21,25,"Cause-Effect(e1,e2)",9
4272,this website is dedicated to providing quality addiction related information and drug and alcohol treatment program listings,7,9,"Message-Topic(e2,e1)",2
4273,in recent years there have been many advances in the use of opioids for cancer pain,12,15,Other,0
4274,the authors propose galaxy clusters as a tool for cosmology,4,9,Other,0
4275,dizziness was caused by whiplash and head injury,0,7,"Cause-Effect(e2,e1)",10
4276,"when fur coats were popular , a richness of martens were sacrificed to make one coat",7,9,"Member-Collection(e2,e1)",16
4277,five neighbors used snow blowers to clear the road ahead while the other neighbors dug out the snow around the ambulance with snow shovels,13,17,Other,0
4278,the hull caused a scratch on the eye and that is why it 's not healing all the way,1,4,"Cause-Effect(e1,e2)",9
4279,"in one e mail , climate scientist benjamin santer commented on a request for data and correspondence from science blogger stephen mcintyre",2,11,"Message-Topic(e1,e2)",1
4280,the massacre resulted in a local and international onslaught,1,8,"Cause-Effect(e1,e2)",9
4281,our ancestors have passed on knowledge to descendants,5,7,Other,0
4282,"the necromancer wields the power of death itself , a power no enemy can stand against",1,4,"Instrument-Agency(e2,e1)",6
4283,"this week , for example , brought a public statement by the head of now acknowledging that the fight to have women valued for their inner beauty is essentially a wash",9,12,"Product-Producer(e1,e2)",3
4284,pilot money manager who bailed out of plane over shelby county says in letter he `` snapped '',1,6,"Entity-Origin(e1,e2)",13
4285,"hell already offers a cornucopia of employment opportunities for anyone coming from a myriad of backgrounds , but they lack name recognition",4,7,Other,0
4286,the church is sinking into indolent obscurity,1,6,Other,0
4287,"both colds and flu cause inflammation of the mucous membranes \( found in the nose , throat and mouth \)",1,5,"Cause-Effect(e1,e2)",9
4288,"at one point , for instance , attacking a large division of musketeers with a small group of lancer cavalry resulted in a massacre of the musketeers",10,12,"Member-Collection(e2,e1)",16
4289,the suit accuses the maker of apps like `` slideshow '' for myspace and `` superwall '' for facebook of making its unencrypted customer data `` available to even the least capable hacker '',4,6,"Product-Producer(e2,e1)",4
4290,another message is being delivered to another mail application,1,7,"Entity-Destination(e1,e2)",7
4291,a japanese woman moved into the bloke 's closet,2,8,"Entity-Destination(e1,e2)",7
4292,texas prepares for crush of executions,3,5,Other,0
4293,constipation is the most common cause of abdominal pain in the pediatric population,0,7,"Cause-Effect(e1,e2)",9
4294,insects wings are very thin so the poor insect must beat \( or flap \) their wings very fast so that they can really take off to fly,0,1,"Component-Whole(e2,e1)",12
